County,MedianFamilyIncome,LATracts_half,LATracts1,HUNVFlag
Abbeville County,45573.0,1,1,0.6666666666666666
Acadia Parish,47378.0,6,3,0.3333333333333333
Accomack County,54505.0,0,0,0.875
Ada County,77344.0,54,31,0.1864406779661017
Adair County,49225.0,4,2,0.14285714285714285
Adams County,66327.0,123,60,0.15675675675675677
Addison County,77818.5,2,2,0.0
Aiken County,54324.5,17,14,0.46875
Aitkin County,56317.0,0,0,0.16666666666666666
Alachua County,64528.5,35,20,0.3392857142857143
Alamance County,63263.5,24,18,0.19444444444444445
Alameda County,109137.0,228,60,0.12640449438202248
Alamosa County,62708.5,2,2,0.25
Albany County,85123.5,69,35,0.2857142857142857
Albemarle County,95319.0,8,4,0.09523809523809523
Alcona County,49766.0,0,0,0.0
Alcorn County,52045.0,2,2,0.2857142857142857
Aleutians East Borough,77941.0,0,0,1.0
Aleutians West Census Area,79297.0,0,0,0.5
Alexander County,50268.0,4,4,0.18181818181818182
Alexandria city,141428.5,14,0,0.02631578947368421
Alfalfa County,70938.0,0,0,0.0
Alger County,58690.0,0,0,0.0
Allamakee County,67321.0,1,0,0.0
Allegan County,69195.5,9,7,0.20833333333333334
Allegany County,57604.0,14,9,0.42857142857142855
Alleghany County,55163.0,1,1,0.2222222222222222
Allegheny County,74850.5,317,145,0.3626943005181347
Allen County,60433.0,102,60,0.23357664233576642
Allen Parish,50417.0,2,1,0.2
Allendale County,44412.0,0,0,0.6666666666666666
Alpena County,57917.0,5,1,0.3333333333333333
Alpine County,82813.0,0,0,0.0
Amador County,74083.0,0,0,0.2222222222222222
Amelia County,73719.5,0,0,0.5
Amherst County,58375.0,4,2,0.0
Amite County,46661.0,0,0,0.6666666666666666
Anchorage Municipality,92778.0,52,24,0.21818181818181817
Anderson County,62054.0,37,30,0.3424657534246575
Andrew County,65032.0,1,1,0.25
Andrews County,80983.5,2,2,0.25
Androscoggin County,64886.5,9,4,0.14285714285714285
Angelina County,55399.0,8,7,0.29411764705882354
Anne Arundel County,114030.5,94,63,0.11764705882352941
Anoka County,94046.0,68,47,0.1686746987951807
Anson County,48797.5,1,1,0.6666666666666666
Antelope County,64338.0,0,0,0.0
Antrim County,63250.0,0,0,0.0
Apache County,33819.5,1,1,0.625
Appanoose County,55227.0,2,0,0.0
Appling County,47258.0,2,2,0.4
Appomattox County,68238.0,0,0,0.3333333333333333
Aransas County,57835.0,3,2,0.2
Arapahoe County,86944.0,133,38,0.06802721088435375
Archer County,69375.0,0,0,0.0
Archuleta County,61316.5,1,1,0.0
Arenac County,51000.0,0,0,0.0
Arkansas County,56199.5,4,4,0.25
Arlington County,151480.0,27,3,0.12280701754385964
Armstrong County,60210.5,5,2,0.2
Aroostook County,51172.5,1,1,0.16666666666666666
Arthur County,66250.0,0,0,0.0
Ascension Parish,75403.5,12,12,0.2857142857142857
Ashe County,50196.5,1,1,0.6666666666666666
Ashland County,61214.0,5,3,0.1111111111111111
Ashley County,51458.0,2,2,0.2857142857142857
Ashtabula County,57989.0,13,11,0.52
Asotin County,60745.0,5,1,0.0
Assumption Parish,53437.5,0,0,0.3333333333333333
Atascosa County,57229.5,3,2,0.625
Atchison County,64402.0,3,1,0.16666666666666666
Athens County,56271.5,4,3,0.42857142857142855
Atkinson County,41765.0,0,0,0.3333333333333333
Atlantic County,80242.0,47,27,0.36764705882352944
Atoka County,48173.5,0,0,0.25
Attala County,45242.0,2,2,0.3333333333333333
Audrain County,51250.0,3,3,0.2857142857142857
Audubon County,60795.0,0,0,0.0
Auglaize County,73000.0,5,4,0.18181818181818182
Augusta County,72143.0,4,4,0.5384615384615384
Aurora County,69135.0,0,0,0.0
Austin County,78993.0,0,0,0.16666666666666666
Autauga County,70064.0,7,7,0.25
Avery County,51467.0,0,0,0.0
Avoyelles Parish,53839.0,2,2,0.5555555555555556
Baca County,48463.0,0,0,0.0
Bacon County,48404.0,0,0,0.6666666666666666
Bailey County,52674.0,0,0,0.0
Baker County,58437.5,4,3,0.16666666666666666
Baldwin County,64688.0,19,17,0.3076923076923077
Ballard County,59145.0,0,0,0.3333333333333333
Baltimore County,90518.0,181,78,0.1674641148325359
Baltimore city,53494.0,112,18,0.44559585492227977
Bamberg County,52726.0,1,1,0.5
Bandera County,65865.0,0,0,0.0
Banks County,55414.5,0,0,0.25
Banner County,64432.0,0,0,0.0
Bannock County,54963.0,17,13,0.045454545454545456
Baraga County,53879.5,0,0,0.0
Barber County,61791.5,0,0,0.0
Barbour County,47833.0,3,2,0.38461538461538464
Barnes County,83583.5,2,0,0.25
Barnstable County,90805.0,48,40,0.17857142857142858
Barnwell County,49856.0,0,0,0.6
Barren County,49372.5,3,2,0.2
Barron County,63722.5,3,3,0.2
Barrow County,61938.0,11,10,0.0
Barry County,66343.0,2,2,0.2777777777777778
Bartholomew County,72273.0,11,9,0.2
Barton County,60369.0,7,3,0.18181818181818182
Bartow County,61538.0,6,6,0.4
Bastrop County,74950.0,3,3,0.4
Bates County,59060.0,1,1,0.25
Bath County,48337.0,0,0,0.25
Baxter County,50050.0,3,3,0.0
Bay County,62750.0,51,33,0.3333333333333333
Bayfield County,62500.0,0,0,0.0
Baylor County,55592.0,0,0,0.0
Beadle County,65657.5,4,1,0.0
Bear Lake County,63625.0,0,0,0.0
Beaufort County,72260.5,31,26,0.22
Beauregard Parish,57273.0,4,3,0.42857142857142855
Beaver County,69625.0,32,25,0.2909090909090909
Beaverhead County,68000.0,1,0,0.0
Becker County,71045.5,2,2,0.3
Beckham County,64092.0,2,2,0.5
Bedford County,60341.0,9,9,0.16216216216216217
Bee County,48828.0,4,3,0.2857142857142857
Belknap County,84125.0,4,3,0.2
Bell County,53639.0,52,35,0.34285714285714286
Belmont County,64293.5,12,7,0.35
Beltrami County,58385.5,3,2,0.3
Ben Hill County,45729.0,2,2,0.6
Benewah County,54056.5,0,0,0.0
Bennett County,53130.0,0,0,0.0
Bennington County,71562.5,2,1,0.25
Benson County,55182.0,0,0,0.0
Bent County,42883.0,0,0,1.0
Benton County,69442.0,75,53,0.13432835820895522
Benzie County,67500.0,0,0,0.0
Bergen County,115714.0,135,41,0.17318435754189945
Berkeley County,65914.5,37,24,0.1896551724137931
Berks County,72606.0,46,24,0.13333333333333333
Berkshire County,79525.0,20,15,0.28205128205128205
Bernalillo County,64537.0,132,53,0.17880794701986755
Berrien County,59298.5,29,20,0.24074074074074073
Bertie County,45389.0,1,1,1.0
Bethel Census Area,45833.0,1,1,1.0
Bexar County,60971.5,324,196,0.31215469613259667
Bibb County,45391.0,39,23,0.5
Bienville Parish,34770.0,1,1,0.8
Big Horn County,56634.5,0,0,0.0
Big Stone County,71000.0,0,0,0.0
Billings County,106964.0,0,0,0.0
Bingham County,64112.0,3,3,0.125
Black Hawk County,68282.5,29,18,0.13157894736842105
Blackford County,52172.0,2,1,0.25
Bladen County,44455.5,1,1,1.0
Blaine County,59291.0,1,1,0.0
Blair County,63840.5,21,8,0.23529411764705882
Blanco County,66178.0,0,0,0.5
Bland County,66473.5,0,0,0.0
Bleckley County,54129.0,1,1,0.6666666666666666
Bledsoe County,57202.0,0,0,0.3333333333333333
